1,(ROOT (NP (: --)))
2,(ROOT (NP (: --)))
3,(ROOT (NP (# #)))
4,(ROOT (NP (: --)))
5,(ROOT (NP (# #)))
6,(ROOT (NP (: --)))
7,(ROOT (NP (# #)))
8,(ROOT (S (VP (VB play) (PP (IN with) (NP (NP (NN mommy) (POS 's)) (NN hand)))) (. .)))
9,(ROOT (FRAG (NP (DT no)) (. .)))
10,(ROOT (FRAG (DT no)))
11,(ROOT (FRAG (NP (NP (ADVP (RB nope)) (DT no)) (NP (DT no))) (. .)))
12,(ROOT (NP (# #)))
13,(ROOT (NP (NN yeah)))
14,(ROOT (NP (# #)))
15,(ROOT (NP (: --)))
16,(ROOT (SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (PRP you)) (VP (VB want))) (. ?)))
17,(ROOT (FRAG (NP (DT this)) (. ?)))
18,(ROOT (NP (# #)))
19,(ROOT (NP (NN yeah) (. .)))
20,(ROOT (S (NP (DT that)) (VP (VBZ 's) (RB not) (ADVP (RB really)) (NP (DT a) (NN toy))) (. .)))
21,(ROOT (S (NP (DT that)) (VP (VBZ 's) (VP (NN mama) (S (NP (POS 's))))) (. .)))
22,(ROOT (NP (NP (NNS thanks)) (NP (NNP Zevy)) (. .)))
23,(ROOT (S (NP (PRP she)) (ADVP (RB always)) (VP (VBZ figures) (PRT (RP out)) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB open) (NP (NNS things))))))) (. .)))
24,(ROOT (NP (NN yeah) (. .)))
25,(ROOT (FRAG (NP (NN pen)) (. ?)))
26,(ROOT (NP (# #)))
27,(ROOT (NP (NN pen) (. .)))
28,(ROOT (FRAG (ADJP (JJ good)) (. !)))
29,(ROOT (NP (# #)))
30,(ROOT (NP (: --)))
31,(ROOT (NP (: --)))
32,(ROOT (SBARQ (WHNP (WP what)) (SQ (VBZ is) (ADJP (IN that))) (. ?)))
33,(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
34,(ROOT (NP (PRP$ your) (NNS stickers) (. .)))
35,(ROOT (S (VP (VBZ is) (ADVP (IN that)) (NP (NP (NNP Zevy) (POS 's)) (NNS stickers))) (. ?)))
36,(ROOT (INTJ (UH oh)))
37,(ROOT (NP (# #)))
38,(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBG opening) (NP (DT that)))) (. .)))
39,(ROOT (FRAG (NP (DT no)) (. .)))
40,(ROOT (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (VP (VB play) (PP (IN with) (NP (DT some) (NNS toys)))))))) (. ?)))
41,(ROOT (NP (# #)))
42,(ROOT (FRAG (NP (NN yeah)) (. ?)))
43,(ROOT (NP (# #)))
44,(ROOT (NP (# #)))
45,(ROOT (NP (# #)))
46,(ROOT (FRAG (NP (RB yes) (CD ###)) (. .)))
47,(ROOT (SBARQ (WHNP (WP who)) (SQ (VBZ 's) (NP (NP (NN pen)) (SBAR (S (VP (VBZ is) (ADJP (IN that))))))) (. ?)))
48,(ROOT (NP (# #)))
49,(ROOT (S (VP (VB thank) (S (NP (CC +)) (NP (PRP you)))) (. .)))
50,(ROOT (NP (# #)))
51,(ROOT (FRAG (NP (NP (NNP Zevy) (POS 's)) (NN helmet)) (. ?)))
52,(ROOT (NP (# #)))
53,(ROOT (NP (NN hmmm) (. .)))
54,(ROOT (NP (NN yeah) (. .)))
55,(ROOT (S (NP (PRP you)) (VP (VBP say)) (: --)))
56,(ROOT (NP (NN shh) (. .)))
57,(ROOT (S (NP (PRP you)) (VP (VBP want) (NP (NP (DT some)) (PP (IN of) (NP (NP (NNP Zevy) (POS 's)) (NN cereal))))) (. ?)))
58,(ROOT (S (NP (PRP you)) (VP (VBP want) (S (NP (PRP him)) (VP (TO to) (VP (VB give) (NP (PRP you)) (NP (CD one) (NN piece)))))) (. ?)))
59,(ROOT (SQ (MD can) (NP (PRP she)) (VP (VB have) (NP (DT a) (NN piece))) (. ?)))
60,(ROOT (S (NP (PRP it)) (VP (VBZ has) (S (VP (TO to) (VP (VB have) (NP (NP (NN milk)) (PP (IN on) (NP (PRP it)))))))) (. .)))
61,(ROOT (S (NP (PRP she)) (VP (MD can) (VP (VB have) (NP (NN milk)) (ADVP (RB now))))))
62,(ROOT (X (CC but) (VP (VBP remember) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD was) (NP (DT a) (NN baby)))))) (. ?)))
63,(ROOT (S (CC and) (NP (PRP she)) (VP (VBD was) (RB n't) (VP (VBG drinking) (NP (NN milk)))) (. ?)))
64,(ROOT (SQ (VBZ is) (NP (DT that)) (ADJP (JJ good)) (. ?)))
65,(ROOT (SQ (VBZ is) (NP (DT that)) (ADJP (JJ good)) (. ?)))
66,(ROOT (NP (NN yeah) (. .)))
67,(ROOT (NP (: --)))
68,(ROOT (FRAG (NP (NN oop) (NN ba)) (. !)))
69,(ROOT (FRAG (UH uh) (INTJ (UH oh)) (. !)))
70,(ROOT (NP (# #)))
71,(ROOT (SQ (VP (VB say) (NP (RBR more))) (. ?)))
72,(ROOT (SQ (MD can) (NP (PRP you)) (VP (VB tell) (NP (NNP Zevy)) (ADVP (RBR more))) (. ?)))
73,(ROOT (NP (# #)))
